index,name,type,height,weight,abilities,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed
19,rattata,normal,0.3,3.5,run-away / guts,hustle,30,56,35,25,35,72
19,rattata-alola,dark / normal,0.3,3.8,gluttony / hustle,thick-fat,30,56,35,25,35,72
20,raticate,normal,0.7,18.5,run-away / guts,hustle,55,81,60,50,70,97
20,raticate-alola,dark / normal,0.7,25.5,gluttony / hustle,thick-fat,75,71,70,40,80,77
20,raticate-totem-alola,dark / normal,1.4,105.0,gluttony / hustle,thick-fat,75,71,70,40,80,77
21,spearow,normal / flying,0.3,2.0,keen-eye,sniper,40,60,30,31,31,70
22,fearow,normal / flying,1.2,38.0,keen-eye,sniper,65,90,65,61,61,100
23,ekans,poison,2.0,6.9,intimidate / shed-skin,unnerve,35,60,44,40,54,55
24,arbok,poison,3.5,65.0,intimidate / shed-skin,unnerve,60,95,69,65,79,80
25,pikachu,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-rock-star,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-belle,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-pop-star,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-phd,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-libre,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-cosplay,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-original-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-hoenn-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-sinnoh-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-unova-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-kalos-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-alola-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-partner-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-starter,electric,0.4,6.0,static,lightning-rod,45,80,50,75,60,120
25,pikachu-world-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-gmax,electric,21.0,1000.0,static,lightning-rod,35,55,40,50,50,90
26,raichu,electric,0.8,30.0,static,lightning-rod,60,90,55,90,80,110
26,raichu-alola,electric / psychic,0.7,21.0,surge-surfer,,60,85,50,95,85,110
27,sandshrew,ground,0.6,12.0,sand-veil,sand-rush,50,75,85,20,30,40
27,sandshrew-alola,ice / steel,0.7,40.0,snow-cloak,slush-rush,50,75,90,10,35,40
28,sandslash,ground,1.0,29.5,sand-veil,sand-rush,75,100,110,45,55,65
28,sandslash-alola,ice / steel,1.2,55.0,snow-cloak,slush-rush,75,100,120,25,65,65
29,nidoran-f,poison,0.4,7.0,poison-point / rivalry,hustle,55,47,52,40,40,41
30,nidorina,poison,0.8,20.0,poison-point / rivalry,hustle,70,62,67,55,55,56
31,nidoqueen,poison / ground,1.3,60.0,poison-point / rivalry,sheer-force,90,92,87,75,85,76
32,nidoran-m,poison,0.5,9.0,poison-point / rivalry,hustle,46,57,40,40,40,50
33,nidorino,poison,0.9,19.5,poison-point / rivalry,hustle,61,72,57,55,55,65
34,nidoking,poison / ground,1.4,62.0,poison-point / rivalry,sheer-force,81,102,77,85,75,85
35,clefairy,fairy,0.6,7.5,cute-charm / magic-guard,friend-guard,70,45,48,60,65,35
36,clefable,fairy,1.3,40.0,cute-charm / magic-guard,unaware,95,70,73,95,90,60
37,vulpix,fire,0.6,9.9,flash-fire,drought,38,41,40,50,65,65
37,vulpix-alola,ice,0.6,9.9,snow-cloak,snow-warning,38,41,40,50,65,65
38,ninetales,fire,1.1,19.9,flash-fire,drought,73,76,75,81,100,100
38,ninetales-alola,ice / fairy,1.1,19.9,snow-cloak,snow-warning,73,67,75,81,100,109
39,jigglypuff,normal / fairy,0.5,5.5,cute-charm / competitive,friend-guard,115,45,20,45,25,20
40,wigglytuff,normal / fairy,1.0,12.0,cute-charm / competitive,frisk,140,70,45,85,50,45
41,zubat,poison / flying,0.8,7.5,inner-focus,infiltrator,40,45,35,30,40,55
42,golbat,poison / flying,1.6,55.0,inner-focus,infiltrator,75,80,70,65,75,90
43,oddish,grass / poison,0.5,5.4,chlorophyll,run-away,45,50,55,75,65,30
44,gloom,grass / poison,0.8,8.6,chlorophyll,stench,60,65,70,85,75,40
45,vileplume,grass / poison,1.2,18.6,chlorophyll,effect-spore,75,80,85,110,90,50
46,paras,bug / grass,0.3,5.4,effect-spore / dry-skin,damp,35,70,55,45,55,25
47,parasect,bug / grass,1.0,29.5,effect-spore / dry-skin,damp,60,95,80,60,80,30
48,venonat,bug / poison,1.0,30.0,compound-eyes / tinted-lens,run-away,60,55,50,40,55,45
49,venomoth,bug / poison,1.5,12.5,shield-dust / tinted-lens,wonder-skin,70,65,60,90,75,90
50,diglett,ground,0.2,0.8,sand-veil / arena-trap,sand-force,10,55,25,35,45,95
50,diglett-alola,ground / steel,0.2,1.0,sand-veil / tangling-hair,sand-force,10,55,30,35,45,90
