index,name,type,height,weight,abilities,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed
19,rattata,normal,0.3,3.5,run-away / guts,hustle,30,56,35,25,35,72
19,rattata-alola,dark / normal,0.3,3.8,gluttony / hustle,thick-fat,30,56,35,25,35,72
20,raticate,normal,0.7,18.5,run-away / guts,hustle,55,81,60,50,70,97
20,raticate-alola,dark / normal,0.7,25.5,gluttony / hustle,thick-fat,75,71,70,40,80,77
20,raticate-totem-alola,dark / normal,1.4,105.0,gluttony / hustle,thick-fat,75,71,70,40,80,77
21,spearow,normal / flying,0.3,2.0,keen-eye,sniper,40,60,30,31,31,70
22,fearow,normal / flying,1.2,38.0,keen-eye,sniper,65,90,65,61,61,100
23,ekans,poison,2.0,6.9,intimidate / shed-skin,unnerve,35,60,44,40,54,55
24,arbok,poison,3.5,65.0,intimidate / shed-skin,unnerve,60,95,69,65,79,80
25,pikachu,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-rock-star,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-belle,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-pop-star,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-phd,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-libre,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-cosplay,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-original-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-hoenn-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-sinnoh-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-unova-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-kalos-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-alola-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-partner-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-starter,electric,0.4,6.0,static,lightning-rod,45,80,50,75,60,120
25,pikachu-world-cap,electric,0.4,6.0,static,lightning-rod,35,55,40,50,50,90
25,pikachu-gmax,electric,21.0,1000.0,static,lightning-rod,35,55,40,50,50,90
26,raichu,electric,0.8,30.0,static,lightning-rod,60,90,55,90,80,110
26,raichu-alola,electric / psychic,0.7,21.0,surge-surfer,,60,85,50,95,85,110
27,sandshrew,ground,0.6,12.0,sand-veil,sand-rush,50,75,85,20,30,40
27,sandshrew-alola,ice / steel,0.7,40.0,snow-cloak,slush-rush,50,75,90,10,35,40
28,sandslash,ground,1.0,29.5,sand-veil,sand-rush,75,100,110,45,55,65
28,sandslash-alola,ice / steel,1.2,55.0,snow-cloak,slush-rush,75,100,120,25,65,65
29,nidoran-f,poison,0.4,7.0,poison-point / rivalry,hustle,55,47,52,40,40,41
30,nidorina,poison,0.8,20.0,poison-point / rivalry,hustle,70,62,67,55,55,56
31,nidoqueen,poison / ground,1.3,60.0,poison-point / rivalry,sheer-force,90,92,87,75,85,76
32,nidoran-m,poison,0.5,9.0,poison-point / rivalry,hustle,46,57,40,40,40,50
33,nidorino,poison,0.9,19.5,poison-point / rivalry,hustle,61,72,57,55,55,65
34,nidoking,poison / ground,1.4,62.0,poison-point / rivalry,sheer-force,81,102,77,85,75,85
35,clefairy,fairy,0.6,7.5,cute-charm / magic-guard,friend-guard,70,45,48,60,65,35
36,clefable,fairy,1.3,40.0,cute-charm / magic-guard,unaware,95,70,73,95,90,60
37,vulpix,fire,0.6,9.9,flash-fire,drought,38,41,40,50,65,65
37,vulpix-alola,ice,0.6,9.9,snow-cloak,snow-warning,38,41,40,50,65,65
38,ninetales,fire,1.1,19.9,flash-fire,drought,73,76,75,81,100,100
38,ninetales-alola,ice / fairy,1.1,19.9,snow-cloak,snow-warning,73,67,75,81,100,109
39,jigglypuff,normal / fairy,0.5,5.5,cute-charm / competitive,friend-guard,115,45,20,45,25,20
40,wigglytuff,normal / fairy,1.0,12.0,cute-charm / competitive,frisk,140,70,45,85,50,45
41,zubat,poison / flying,0.8,7.5,inner-focus,infiltrator,40,45,35,30,40,55
42,golbat,poison / flying,1.6,55.0,inner-focus,infiltrator,75,80,70,65,75,90
43,oddish,grass / poison,0.5,5.4,chlorophyll,run-away,45,50,55,75,65,30
44,gloom,grass / poison,0.8,8.6,chlorophyll,stench,60,65,70,85,75,40
45,vileplume,grass / poison,1.2,18.6,chlorophyll,effect-spore,75,80,85,110,90,50
46,paras,bug / grass,0.3,5.4,effect-spore / dry-skin,damp,35,70,55,45,55,25
47,parasect,bug / grass,1.0,29.5,effect-spore / dry-skin,damp,60,95,80,60,80,30
48,venonat,bug / poison,1.0,30.0,compound-eyes / tinted-lens,run-away,60,55,50,40,55,45
49,venomoth,bug / poison,1.5,12.5,shield-dust / tinted-lens,wonder-skin,70,65,60,90,75,90
50,diglett,ground,0.2,0.8,sand-veil / arena-trap,sand-force,10,55,25,35,45,95
50,diglett-alola,ground / steel,0.2,1.0,sand-veil / tangling-hair,sand-force,10,55,30,35,45,90
51,dugtrio,ground,0.7,33.3,sand-veil / arena-trap,sand-force,35,100,50,50,70,120
51,dugtrio-alola,ground / steel,0.7,66.6,sand-veil / tangling-hair,sand-force,35,100,60,50,70,110
52,meowth,normal,0.4,4.2,pickup / technician,unnerve,40,45,35,40,40,90
52,meowth-alola,dark,0.4,4.2,pickup / technician,rattled,40,35,35,50,40,90
52,meowth-galar,steel,0.4,7.5,pickup / tough-claws,unnerve,50,65,55,40,40,40
52,meowth-gmax,normal,33.0,1000.0,pickup / technician,unnerve,40,45,35,40,40,90
53,persian,normal,1.0,32.0,limber / technician,unnerve,65,70,60,65,65,115
53,persian-alola,dark,1.1,33.0,fur-coat / technician,rattled,65,60,60,75,65,115
54,psyduck,water,0.8,19.6,damp / cloud-nine,swift-swim,50,52,48,65,50,55
55,golduck,water,1.7,76.6,damp / cloud-nine,swift-swim,80,82,78,95,80,85
56,mankey,fighting,0.5,28.0,vital-spirit / anger-point,defiant,40,80,35,35,45,70
57,primeape,fighting,1.0,32.0,vital-spirit / anger-point,defiant,65,105,60,60,70,95
58,growlithe,fire,0.7,19.0,intimidate / flash-fire,justified,55,70,45,70,50,60
58,growlithe-hisui,fire / rock,0.8,22.7,intimidate / flash-fire,rock-head,60,75,45,65,50,55
59,arcanine,fire,1.9,155.0,intimidate / flash-fire,justified,90,110,80,100,80,95
59,arcanine-hisui,fire / rock,2.0,168.0,intimidate / flash-fire,rock-head,95,115,80,95,80,90
60,poliwag,water,0.6,12.4,water-absorb / damp,swift-swim,40,50,40,40,40,90
61,poliwhirl,water,1.0,20.0,water-absorb / damp,swift-swim,65,65,65,50,50,90
62,poliwrath,water / fighting,1.3,54.0,water-absorb / damp,swift-swim,90,95,95,70,90,70
63,abra,psychic,0.9,19.5,synchronize / inner-focus,magic-guard,25,20,15,105,55,90
64,kadabra,psychic,1.3,56.5,synchronize / inner-focus,magic-guard,40,35,30,120,70,105
65,alakazam,psychic,1.5,48.0,synchronize / inner-focus,magic-guard,55,50,45,135,95,120
65,alakazam-mega,psychic,1.2,48.0,trace,,55,50,65,175,105,150
66,machop,fighting,0.8,19.5,guts / no-guard,steadfast,70,80,50,35,35,35
67,machoke,fighting,1.5,70.5,guts / no-guard,steadfast,80,100,70,50,60,45
68,machamp,fighting,1.6,130.0,guts / no-guard,steadfast,90,130,80,65,85,55
68,machamp-gmax,fighting,25.0,1000.0,guts / no-guard,steadfast,90,130,80,65,85,55
69,bellsprout,grass / poison,0.7,4.0,chlorophyll,gluttony,50,75,35,70,30,40
70,weepinbell,grass / poison,1.0,6.4,chlorophyll,gluttony,65,90,50,85,45,55
71,victreebel,grass / poison,1.7,15.5,chlorophyll,gluttony,80,105,65,100,70,70
72,tentacool,water / poison,0.9,45.5,clear-body / liquid-ooze,rain-dish,40,40,35,50,100,70
73,tentacruel,water / poison,1.6,55.0,clear-body / liquid-ooze,rain-dish,80,70,65,80,120,100
74,geodude,rock / ground,0.4,20.0,rock-head / sturdy,sand-veil,40,80,100,30,30,20
74,geodude-alola,rock / electric,0.4,20.3,magnet-pull / sturdy,galvanize,40,80,100,30,30,20
75,graveler,rock / ground,1.0,105.0,rock-head / sturdy,sand-veil,55,95,115,45,45,35
75,graveler-alola,rock / electric,1.0,110.0,magnet-pull / sturdy,galvanize,55,95,115,45,45,35
76,golem,rock / ground,1.4,300.0,rock-head / sturdy,sand-veil,80,120,130,55,65,45
76,golem-alola,rock / electric,1.7,316.0,magnet-pull / sturdy,galvanize,80,120,130,55,65,45
77,ponyta,fire,1.0,30.0,run-away / flash-fire,flame-body,50,85,55,65,65,90
77,ponyta-galar,psychic,0.8,24.0,run-away / pastel-veil,anticipation,50,85,55,65,65,90
78,rapidash,fire,1.7,95.0,run-away / flash-fire,flame-body,65,100,70,80,80,105
78,rapidash-galar,psychic / fairy,1.7,80.0,run-away / pastel-veil,anticipation,65,100,70,80,80,105
79,slowpoke,water / psychic,1.2,36.0,oblivious / own-tempo,regenerator,90,65,65,40,40,15
79,slowpoke-galar,psychic,1.2,36.0,gluttony / own-tempo,regenerator,90,65,65,40,40,15
80,slowbro,water / psychic,1.6,78.5,oblivious / own-tempo,regenerator,95,75,110,100,80,30
80,slowbro-mega,water / psychic,2.0,120.0,shell-armor,,95,75,180,130,80,30
80,slowbro-galar,poison / psychic,1.6,70.5,quick-draw / own-tempo,regenerator,95,100,95,100,70,30
81,magnemite,electric / steel,0.3,6.0,magnet-pull / sturdy,analytic,25,35,70,95,55,45
82,magneton,electric / steel,1.0,60.0,magnet-pull / sturdy,analytic,50,60,95,120,70,70
83,farfetchd,normal / flying,0.8,15.0,keen-eye / inner-focus,defiant,52,90,55,58,62,60
83,farfetchd-galar,fighting,0.8,42.0,steadfast,scrappy,52,95,55,58,62,55
84,doduo,normal / flying,1.4,39.2,run-away / early-bird,tangled-feet,35,85,45,35,35,75
85,dodrio,normal / flying,1.8,85.2,run-away / early-bird,tangled-feet,60,110,70,60,60,110
86,seel,water,1.1,90.0,thick-fat / hydration,ice-body,65,45,55,45,70,45
87,dewgong,water / ice,1.7,120.0,thick-fat / hydration,ice-body,90,70,80,70,95,70
88,grimer,poison,0.9,30.0,stench / sticky-hold,poison-touch,80,80,50,40,50,25
88,grimer-alola,poison / dark,0.7,42.0,poison-touch / gluttony,power-of-alchemy,80,80,50,40,50,25
89,muk,poison,1.2,30.0,stench / sticky-hold,poison-touch,105,105,75,65,100,50
89,muk-alola,poison / dark,1.0,52.0,poison-touch / gluttony,power-of-alchemy,105,105,75,65,100,50
90,shellder,water,0.3,4.0,shell-armor / skill-link,overcoat,30,65,100,45,25,40
91,cloyster,water / ice,1.5,132.5,shell-armor / skill-link,overcoat,50,95,180,85,45,70
92,gastly,ghost / poison,1.3,0.1,levitate,,30,35,30,100,35,80
93,haunter,ghost / poison,1.6,0.1,levitate,,45,50,45,115,55,95
94,gengar,ghost / poison,1.5,40.5,cursed-body,,60,65,60,130,75,110
94,gengar-mega,ghost / poison,1.4,40.5,shadow-tag,,60,65,80,170,95,130
94,gengar-gmax,ghost / poison,20.0,1000.0,cursed-body,,60,65,60,130,75,110
95,onix,rock / ground,8.8,210.0,rock-head / sturdy,weak-armor,35,45,160,30,45,70
96,drowzee,psychic,1.0,32.4,insomnia / forewarn,inner-focus,60,48,45,43,90,42
97,hypno,psychic,1.6,75.6,insomnia / forewarn,inner-focus,85,73,70,73,115,67
98,krabby,water,0.4,6.5,hyper-cutter / shell-armor,sheer-force,30,105,90,25,25,50
99,kingler,water,1.3,60.0,hyper-cutter / shell-armor,sheer-force,55,130,115,50,50,75
99,kingler-gmax,water,19.0,1000.0,hyper-cutter / shell-armor,sheer-force,55,130,115,50,50,75
100,voltorb,electric,0.5,10.4,soundproof / static,aftermath,40,30,50,55,55,100
100,voltorb-hisui,electric / grass,0.5,13.0,soundproof / static,aftermath,40,30,50,55,55,100
