index,name,type1,type2,ability1,ability2,hidden_ability,height,weight,hp,attack,defense,sp_atk,sp_def,speed,total_stats,legendary,mythical,generation
80,slowbro-mega,water,psychic,shell-armor,None,None ,2,120,95,75,180,130,80,30,590,False,False,generation-i
80,slowbro-galar,poison,psychic,quick-draw,own-tempo,regenerator,1,70,95,100,95,100,70,30,490,False,False,generation-i
81,magnemite,electric,steel,magnet-pull,sturdy,analytic,0,6,25,35,70,95,55,45,325,False,False,generation-i
82,magneton,electric,steel,magnet-pull,sturdy,analytic,1,60,50,60,95,120,70,70,465,False,False,generation-i
83,farfetchd,normal,flying,keen-eye,inner-focus,defiant,0,15,52,90,55,58,62,60,377,False,False,generation-i
83,farfetchd-galar,fighting,None,steadfast,None,scrappy,0,42,52,95,55,58,62,55,377,False,False,generation-i
84,doduo,normal,flying,run-away,early-bird,tangled-feet,1,39,35,85,45,35,35,75,310,False,False,generation-i
85,dodrio,normal,flying,run-away,early-bird,tangled-feet,1,85,60,110,70,60,60,110,470,False,False,generation-i
86,seel,water,None,thick-fat,hydration,ice-body,1,90,65,45,55,45,70,45,325,False,False,generation-i
87,dewgong,water,ice,thick-fat,hydration,ice-body,1,120,90,70,80,70,95,70,475,False,False,generation-i
88,grimer,poison,None,stench,sticky-hold,poison-touch,0,30,80,80,50,40,50,25,325,False,False,generation-i
88,grimer-alola,poison,dark,poison-touch,gluttony,power-of-alchemy,0,42,80,80,50,40,50,25,325,False,False,generation-i
89,muk,poison,None,stench,sticky-hold,poison-touch,1,30,105,105,75,65,100,50,500,False,False,generation-i
89,muk-alola,poison,dark,poison-touch,gluttony,power-of-alchemy,1,52,105,105,75,65,100,50,500,False,False,generation-i
90,shellder,water,None,shell-armor,skill-link,overcoat,0,4,30,65,100,45,25,40,305,False,False,generation-i
91,cloyster,water,ice,shell-armor,skill-link,overcoat,1,132,50,95,180,85,45,70,525,False,False,generation-i
92,gastly,ghost,poison,levitate,None,None ,1,0,30,35,30,100,35,80,310,False,False,generation-i
93,haunter,ghost,poison,levitate,None,None ,1,0,45,50,45,115,55,95,405,False,False,generation-i
94,gengar,ghost,poison,cursed-body,None,None ,1,40,60,65,60,130,75,110,500,False,False,generation-i
94,gengar-mega,ghost,poison,shadow-tag,None,None ,1,40,60,65,80,170,95,130,600,False,False,generation-i
94,gengar-gmax,ghost,poison,cursed-body,None,None ,20,1000,60,65,60,130,75,110,500,False,False,generation-i
95,onix,rock,ground,rock-head,sturdy,weak-armor,8,210,35,45,160,30,45,70,385,False,False,generation-i
96,drowzee,psychic,None,insomnia,forewarn,inner-focus,1,32,60,48,45,43,90,42,328,False,False,generation-i
97,hypno,psychic,None,insomnia,forewarn,inner-focus,1,75,85,73,70,73,115,67,483,False,False,generation-i
98,krabby,water,None,hyper-cutter,shell-armor,sheer-force,0,6,30,105,90,25,25,50,325,False,False,generation-i
99,kingler,water,None,hyper-cutter,shell-armor,sheer-force,1,60,55,130,115,50,50,75,475,False,False,generation-i
99,kingler-gmax,water,None,hyper-cutter,shell-armor,sheer-force,19,1000,55,130,115,50,50,75,475,False,False,generation-i
100,voltorb,electric,None,soundproof,static,aftermath,0,10,40,30,50,55,55,100,330,False,False,generation-i
100,voltorb-hisui,electric,grass,soundproof,static,aftermath,0,13,40,30,50,55,55,100,330,False,False,generation-i
101,electrode,electric,None,soundproof,static,aftermath,1,66,60,50,70,80,80,150,490,False,False,generation-i
101,electrode-hisui,electric,grass,soundproof,static,aftermath,1,71,60,50,70,80,80,150,490,False,False,generation-i
102,exeggcute,grass,psychic,chlorophyll,None,harvest,0,2,60,40,80,60,45,40,325,False,False,generation-i
103,exeggutor,grass,psychic,chlorophyll,None,harvest,2,120,95,95,85,125,75,55,530,False,False,generation-i
103,exeggutor-alola,grass,dragon,frisk,None,harvest,10,415,95,105,85,125,75,45,530,False,False,generation-i
104,cubone,ground,None,rock-head,lightning-rod,battle-armor,0,6,50,50,95,40,50,35,320,False,False,generation-i
105,marowak,ground,None,rock-head,lightning-rod,battle-armor,1,45,60,80,110,50,80,45,425,False,False,generation-i
105,marowak-alola,fire,ghost,cursed-body,lightning-rod,rock-head,1,34,60,80,110,50,80,45,425,False,False,generation-i
105,marowak-totem,fire,ghost,cursed-body,lightning-rod,rock-head,1,98,60,80,110,50,80,45,425,False,False,generation-i
106,hitmonlee,fighting,None,limber,reckless,unburden,1,49,50,120,53,35,110,87,455,False,False,generation-i
107,hitmonchan,fighting,None,keen-eye,iron-fist,inner-focus,1,50,50,105,79,35,110,76,455,False,False,generation-i
108,lickitung,normal,None,own-tempo,oblivious,cloud-nine,1,65,90,55,75,60,75,30,385,False,False,generation-i
109,koffing,poison,None,levitate,neutralizing-gas,stench,0,1,40,65,95,60,45,35,340,False,False,generation-i
110,weezing,poison,None,levitate,neutralizing-gas,stench,1,9,65,90,120,85,70,60,490,False,False,generation-i
110,weezing-galar,poison,fairy,levitate,neutralizing-gas,misty-surge,3,16,65,90,120,85,70,60,490,False,False,generation-i
111,rhyhorn,ground,rock,lightning-rod,rock-head,reckless,1,115,80,85,95,30,30,25,345,False,False,generation-i
112,rhydon,ground,rock,lightning-rod,rock-head,reckless,1,120,105,130,120,45,45,40,485,False,False,generation-i
113,chansey,normal,None,natural-cure,serene-grace,healer,1,34,250,5,5,35,105,50,450,False,False,generation-i
114,tangela,grass,None,chlorophyll,leaf-guard,regenerator,1,35,65,55,115,100,40,60,435,False,False,generation-i
115,kangaskhan,normal,None,early-bird,scrappy,inner-focus,2,80,105,95,80,40,80,90,490,False,False,generation-i
115,kangaskhan-mega,normal,None,parental-bond,None,None ,2,100,105,125,100,60,100,100,590,False,False,generation-i
116,horsea,water,None,swift-swim,sniper,damp,0,8,30,40,70,70,25,60,295,False,False,generation-i
117,seadra,water,None,poison-point,sniper,damp,1,25,55,65,95,95,45,85,440,False,False,generation-i
118,goldeen,water,None,swift-swim,water-veil,lightning-rod,0,15,45,67,60,35,50,63,320,False,False,generation-i
119,seaking,water,None,swift-swim,water-veil,lightning-rod,1,39,80,92,65,65,80,68,450,False,False,generation-i
120,staryu,water,None,illuminate,natural-cure,analytic,0,34,30,45,55,70,55,85,340,False,False,generation-i
121,starmie,water,psychic,illuminate,natural-cure,analytic,1,80,60,75,85,100,85,115,520,False,False,generation-i
122,mr-mime,psychic,fairy,soundproof,filter,technician,1,54,40,45,65,100,120,90,460,False,False,generation-i
122,mr-mime-galar,ice,psychic,vital-spirit,screen-cleaner,ice-body,1,56,50,65,65,90,90,100,460,False,False,generation-i
123,scyther,bug,flying,swarm,technician,steadfast,1,56,70,110,80,55,80,105,500,False,False,generation-i
124,jynx,ice,psychic,oblivious,forewarn,dry-skin,1,40,65,50,35,115,95,95,455,False,False,generation-i
125,electabuzz,electric,None,static,None,vital-spirit,1,30,65,83,57,95,85,105,490,False,False,generation-i
126,magmar,fire,None,flame-body,None,vital-spirit,1,44,65,95,57,100,85,93,495,False,False,generation-i
127,pinsir,bug,None,hyper-cutter,mold-breaker,moxie,1,55,65,125,100,55,70,85,500,False,False,generation-i
127,pinsir-mega,bug,flying,aerilate,None,None ,1,59,65,155,120,65,90,105,600,False,False,generation-i
128,tauros,normal,None,intimidate,anger-point,sheer-force,1,88,75,100,95,40,70,110,490,False,False,generation-i
128,tauros-paldea-combat,fighting,None,intimidate,anger-point,cud-chew,1,115,75,110,105,30,70,100,490,False,False,generation-i
128,tauros-paldea-blaze,fighting,fire,intimidate,anger-point,cud-chew,1,85,75,110,105,30,70,100,490,False,False,generation-i
128,tauros-paldea-aqua,fighting,water,intimidate,anger-point,cud-chew,1,110,75,110,105,30,70,100,490,False,False,generation-i
129,magikarp,water,None,swift-swim,None,rattled,0,10,20,10,55,15,20,80,200,False,False,generation-i
130,gyarados,water,flying,intimidate,None,moxie,6,235,95,125,79,60,100,81,540,False,False,generation-i
130,gyarados-mega,water,dark,mold-breaker,None,None ,6,305,95,155,109,70,130,81,640,False,False,generation-i
131,lapras,water,ice,water-absorb,shell-armor,hydration,2,220,130,85,80,85,95,60,535,False,False,generation-i
131,lapras-gmax,water,ice,water-absorb,shell-armor,hydration,24,1000,130,85,80,85,95,60,535,False,False,generation-i
132,ditto,normal,None,limber,None,imposter,0,4,48,48,48,48,48,48,288,False,False,generation-i
133,eevee,normal,None,run-away,adaptability,anticipation,0,6,55,55,50,45,65,55,325,False,False,generation-i
133,eevee-starter,normal,None,run-away,adaptability,anticipation,0,6,65,75,70,65,85,75,435,False,False,generation-i
133,eevee-gmax,normal,None,run-away,adaptability,anticipation,18,1000,55,55,50,45,65,55,325,False,False,generation-i
134,vaporeon,water,None,water-absorb,None,hydration,1,29,130,65,60,110,95,65,525,False,False,generation-i
135,jolteon,electric,None,volt-absorb,None,quick-feet,0,24,65,65,60,110,95,130,525,False,False,generation-i
136,flareon,fire,None,flash-fire,None,guts,0,25,65,130,60,95,110,65,525,False,False,generation-i
137,porygon,normal,None,trace,download,analytic,0,36,65,60,70,85,75,40,395,False,False,generation-i
138,omanyte,rock,water,swift-swim,shell-armor,weak-armor,0,7,35,40,100,90,55,35,355,False,False,generation-i
139,omastar,rock,water,swift-swim,shell-armor,weak-armor,1,35,70,60,125,115,70,55,495,False,False,generation-i
140,kabuto,rock,water,swift-swim,battle-armor,weak-armor,0,11,30,80,90,55,45,55,355,False,False,generation-i
141,kabutops,rock,water,swift-swim,battle-armor,weak-armor,1,40,60,115,105,65,70,80,495,False,False,generation-i
142,aerodactyl,rock,flying,rock-head,pressure,unnerve,1,59,80,105,65,60,75,130,515,False,False,generation-i
142,aerodactyl-mega,rock,flying,tough-claws,None,None ,2,79,80,135,85,70,95,150,615,False,False,generation-i
143,snorlax,normal,None,immunity,thick-fat,gluttony,2,460,160,110,65,65,110,30,540,False,False,generation-i
143,snorlax-gmax,normal,None,immunity,thick-fat,gluttony,35,1000,160,110,65,65,110,30,540,False,False,generation-i
144,articuno,ice,flying,pressure,None,snow-cloak,1,55,90,85,100,95,125,85,580,True,False,generation-i
144,articuno-galar,psychic,flying,competitive,None,None ,1,50,90,85,85,125,100,95,580,True,False,generation-i
145,zapdos,electric,flying,pressure,None,static,1,52,90,90,85,125,90,100,580,True,False,generation-i
145,zapdos-galar,fighting,flying,defiant,None,None ,1,58,90,125,90,85,90,100,580,True,False,generation-i
146,moltres,fire,flying,pressure,None,flame-body,2,60,90,100,90,125,85,90,580,True,False,generation-i
146,moltres-galar,dark,flying,berserk,None,None ,2,66,90,85,90,100,125,90,580,True,False,generation-i
147,dratini,dragon,None,shed-skin,None,marvel-scale,1,3,41,64,45,50,50,50,300,False,False,generation-i
148,dragonair,dragon,None,shed-skin,None,marvel-scale,4,16,61,84,65,70,70,70,420,False,False,generation-i
149,dragonite,dragon,flying,inner-focus,None,multiscale,2,210,91,134,95,100,100,80,600,False,False,generation-i
150,mewtwo,psychic,None,pressure,None,unnerve,2,122,106,110,90,154,90,130,680,True,False,generation-i
150,mewtwo-mega-x,psychic,fighting,steadfast,None,None ,2,127,106,190,100,154,100,130,780,True,False,generation-i
150,mewtwo-mega-y,psychic,None,insomnia,None,None ,1,33,106,150,70,194,120,140,780,True,False,generation-i
151,mew,psychic,None,synchronize,None,None ,0,4,100,100,100,100,100,100,600,False,True,generation-i
152,chikorita,grass,None,overgrow,None,leaf-guard,0,6,45,49,65,49,65,45,318,False,False,generation-ii
153,bayleef,grass,None,overgrow,None,leaf-guard,1,15,60,62,80,63,80,60,405,False,False,generation-ii
154,meganium,grass,None,overgrow,None,leaf-guard,1,100,80,82,100,83,100,80,525,False,False,generation-ii
155,cyndaquil,fire,None,blaze,None,flash-fire,0,7,39,52,43,60,50,65,309,False,False,generation-ii
156,quilava,fire,None,blaze,None,flash-fire,0,19,58,64,58,80,65,80,405,False,False,generation-ii
157,typhlosion,fire,None,blaze,None,flash-fire,1,79,78,84,78,109,85,100,534,False,False,generation-ii
157,typhlosion-hisui,fire,ghost,blaze,None,frisk,1,69,73,84,78,119,85,95,534,False,False,generation-ii
158,totodile,water,None,torrent,None,sheer-force,0,9,50,65,64,44,48,43,314,False,False,generation-ii
159,croconaw,water,None,torrent,None,sheer-force,1,25,65,80,80,59,63,58,405,False,False,generation-ii
160,feraligatr,water,None,torrent,None,sheer-force,2,88,85,105,100,79,83,78,530,False,False,generation-ii
161,sentret,normal,None,run-away,keen-eye,frisk,0,6,35,46,34,35,45,20,215,False,False,generation-ii
162,furret,normal,None,run-away,keen-eye,frisk,1,32,85,76,64,45,55,90,415,False,False,generation-ii
163,hoothoot,normal,flying,insomnia,keen-eye,tinted-lens,0,21,60,30,30,36,56,50,262,False,False,generation-ii
164,noctowl,normal,flying,insomnia,keen-eye,tinted-lens,1,40,100,50,50,86,96,70,452,False,False,generation-ii
165,ledyba,bug,flying,swarm,early-bird,rattled,1,10,40,20,30,40,80,55,265,False,False,generation-ii
166,ledian,bug,flying,swarm,early-bird,iron-fist,1,35,55,35,50,55,110,85,390,False,False,generation-ii
167,spinarak,bug,poison,swarm,insomnia,sniper,0,8,40,60,40,40,40,30,250,False,False,generation-ii
168,ariados,bug,poison,swarm,insomnia,sniper,1,33,70,90,70,60,70,40,400,False,False,generation-ii
169,crobat,poison,flying,inner-focus,None,infiltrator,1,75,85,90,80,70,80,130,535,False,False,generation-ii
170,chinchou,water,electric,volt-absorb,illuminate,water-absorb,0,12,75,38,38,56,56,67,330,False,False,generation-ii
171,lanturn,water,electric,volt-absorb,illuminate,water-absorb,1,22,125,58,58,76,76,67,460,False,False,generation-ii
