index,name,type,height,weight,abilities,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,legendary,mythical,generation,total_stats
14,kakuna,bug / poison,0,10,shed-skin,None ,45,25,50,25,25,35,False,False,generation-i,205
15,beedrill,bug / poison,1,29,swarm,sniper,65,90,40,45,80,75,False,False,generation-i,395
15,beedrill-mega,bug / poison,1,40,adaptability,None ,65,150,40,15,80,145,False,False,generation-i,495
16,pidgey,normal / flying,0,1,keen-eye / tangled-feet,big-pecks,40,45,40,35,35,56,False,False,generation-i,251
17,pidgeotto,normal / flying,1,30,keen-eye / tangled-feet,big-pecks,63,60,55,50,50,71,False,False,generation-i,349
18,pidgeot,normal / flying,1,39,keen-eye / tangled-feet,big-pecks,83,80,75,70,70,101,False,False,generation-i,479
18,pidgeot-mega,normal / flying,2,50,no-guard,None ,83,80,80,135,80,121,False,False,generation-i,579
19,rattata,normal,0,3,run-away / guts,hustle,30,56,35,25,35,72,False,False,generation-i,253
19,rattata-alola,dark / normal,0,3,gluttony / hustle,thick-fat,30,56,35,25,35,72,False,False,generation-i,253
20,raticate,normal,0,18,run-away / guts,hustle,55,81,60,50,70,97,False,False,generation-i,413
20,raticate-alola,dark / normal,0,25,gluttony / hustle,thick-fat,75,71,70,40,80,77,False,False,generation-i,413
20,raticate-totem-alola,dark / normal,1,105,gluttony / hustle,thick-fat,75,71,70,40,80,77,False,False,generation-i,413
21,spearow,normal / flying,0,2,keen-eye,sniper,40,60,30,31,31,70,False,False,generation-i,262
22,fearow,normal / flying,1,38,keen-eye,sniper,65,90,65,61,61,100,False,False,generation-i,442
23,ekans,poison,2,6,intimidate / shed-skin,unnerve,35,60,44,40,54,55,False,False,generation-i,288
24,arbok,poison,3,65,intimidate / shed-skin,unnerve,60,95,69,65,79,80,False,False,generation-i,448
25,pikachu,electric,0,6,static,lightning-rod,35,55,40,50,50,90,False,False,generation-i,320
25,pikachu-rock-star,electric,0,6,static,lightning-rod,35,55,40,50,50,90,False,False,generation-i,320
25,pikachu-belle,electric,0,6,static,lightning-rod,35,55,40,50,50,90,False,False,generation-i,320
25,pikachu-pop-star,electric,0,6,static,lightning-rod,35,55,40,50,50,90,False,False,generation-i,320
25,pikachu-phd,electric,0,6,static,lightning-rod,35,55,40,50,50,90,False,False,generation-i,320
25,pikachu-libre,electric,0,6,static,lightning-rod,35,55,40,50,50,90,False,False,generation-i,320
25,pikachu-cosplay,electric,0,6,static,lightning-rod,35,55,40,50,50,90,False,False,generation-i,320
25,pikachu-original-cap,electric,0,6,static,lightning-rod,35,55,40,50,50,90,False,False,generation-i,320
25,pikachu-hoenn-cap,electric,0,6,static,lightning-rod,35,55,40,50,50,90,False,False,generation-i,320
25,pikachu-sinnoh-cap,electric,0,6,static,lightning-rod,35,55,40,50,50,90,False,False,generation-i,320
25,pikachu-unova-cap,electric,0,6,static,lightning-rod,35,55,40,50,50,90,False,False,generation-i,320
25,pikachu-kalos-cap,electric,0,6,static,lightning-rod,35,55,40,50,50,90,False,False,generation-i,320
25,pikachu-alola-cap,electric,0,6,static,lightning-rod,35,55,40,50,50,90,False,False,generation-i,320
25,pikachu-partner-cap,electric,0,6,static,lightning-rod,35,55,40,50,50,90,False,False,generation-i,320
25,pikachu-starter,electric,0,6,static,lightning-rod,45,80,50,75,60,120,False,False,generation-i,430
25,pikachu-world-cap,electric,0,6,static,lightning-rod,35,55,40,50,50,90,False,False,generation-i,320
25,pikachu-gmax,electric,21,1000,static,lightning-rod,35,55,40,50,50,90,False,False,generation-i,320
26,raichu,electric,0,30,static,lightning-rod,60,90,55,90,80,110,False,False,generation-i,485
26,raichu-alola,electric / psychic,0,21,surge-surfer,None ,60,85,50,95,85,110,False,False,generation-i,485
27,sandshrew,ground,0,12,sand-veil,sand-rush,50,75,85,20,30,40,False,False,generation-i,300
27,sandshrew-alola,ice / steel,0,40,snow-cloak,slush-rush,50,75,90,10,35,40,False,False,generation-i,300
28,sandslash,ground,1,29,sand-veil,sand-rush,75,100,110,45,55,65,False,False,generation-i,450
28,sandslash-alola,ice / steel,1,55,snow-cloak,slush-rush,75,100,120,25,65,65,False,False,generation-i,450
29,nidoran-f,poison,0,7,poison-point / rivalry,hustle,55,47,52,40,40,41,False,False,generation-i,275
30,nidorina,poison,0,20,poison-point / rivalry,hustle,70,62,67,55,55,56,False,False,generation-i,365
31,nidoqueen,poison / ground,1,60,poison-point / rivalry,sheer-force,90,92,87,75,85,76,False,False,generation-i,505
32,nidoran-m,poison,0,9,poison-point / rivalry,hustle,46,57,40,40,40,50,False,False,generation-i,273
33,nidorino,poison,0,19,poison-point / rivalry,hustle,61,72,57,55,55,65,False,False,generation-i,365
34,nidoking,poison / ground,1,62,poison-point / rivalry,sheer-force,81,102,77,85,75,85,False,False,generation-i,505
35,clefairy,fairy,0,7,cute-charm / magic-guard,friend-guard,70,45,48,60,65,35,False,False,generation-i,323
36,clefable,fairy,1,40,cute-charm / magic-guard,unaware,95,70,73,95,90,60,False,False,generation-i,483
37,vulpix,fire,0,9,flash-fire,drought,38,41,40,50,65,65,False,False,generation-i,299
37,vulpix-alola,ice,0,9,snow-cloak,snow-warning,38,41,40,50,65,65,False,False,generation-i,299
38,ninetales,fire,1,19,flash-fire,drought,73,76,75,81,100,100,False,False,generation-i,505
38,ninetales-alola,ice / fairy,1,19,snow-cloak,snow-warning,73,67,75,81,100,109,False,False,generation-i,505
39,jigglypuff,normal / fairy,0,5,cute-charm / competitive,friend-guard,115,45,20,45,25,20,False,False,generation-i,270
40,wigglytuff,normal / fairy,1,12,cute-charm / competitive,frisk,140,70,45,85,50,45,False,False,generation-i,435
41,zubat,poison / flying,0,7,inner-focus,infiltrator,40,45,35,30,40,55,False,False,generation-i,245
42,golbat,poison / flying,1,55,inner-focus,infiltrator,75,80,70,65,75,90,False,False,generation-i,455
43,oddish,grass / poison,0,5,chlorophyll,run-away,45,50,55,75,65,30,False,False,generation-i,320
44,gloom,grass / poison,0,8,chlorophyll,stench,60,65,70,85,75,40,False,False,generation-i,395
45,vileplume,grass / poison,1,18,chlorophyll,effect-spore,75,80,85,110,90,50,False,False,generation-i,490
46,paras,bug / grass,0,5,effect-spore / dry-skin,damp,35,70,55,45,55,25,False,False,generation-i,285
47,parasect,bug / grass,1,29,effect-spore / dry-skin,damp,60,95,80,60,80,30,False,False,generation-i,405
48,venonat,bug / poison,1,30,compound-eyes / tinted-lens,run-away,60,55,50,40,55,45,False,False,generation-i,305
49,venomoth,bug / poison,1,12,shield-dust / tinted-lens,wonder-skin,70,65,60,90,75,90,False,False,generation-i,450
50,diglett,ground,0,0,sand-veil / arena-trap,sand-force,10,55,25,35,45,95,False,False,generation-i,265
50,diglett-alola,ground / steel,0,1,sand-veil / tangling-hair,sand-force,10,55,30,35,45,90,False,False,generation-i,265
51,dugtrio,ground,0,33,sand-veil / arena-trap,sand-force,35,100,50,50,70,120,False,False,generation-i,425
51,dugtrio-alola,ground / steel,0,66,sand-veil / tangling-hair,sand-force,35,100,60,50,70,110,False,False,generation-i,425
52,meowth,normal,0,4,pickup / technician,unnerve,40,45,35,40,40,90,False,False,generation-i,290
52,meowth-alola,dark,0,4,pickup / technician,rattled,40,35,35,50,40,90,False,False,generation-i,290
52,meowth-galar,steel,0,7,pickup / tough-claws,unnerve,50,65,55,40,40,40,False,False,generation-i,290
52,meowth-gmax,normal,33,1000,pickup / technician,unnerve,40,45,35,40,40,90,False,False,generation-i,290
53,persian,normal,1,32,limber / technician,unnerve,65,70,60,65,65,115,False,False,generation-i,440
53,persian-alola,dark,1,33,fur-coat / technician,rattled,65,60,60,75,65,115,False,False,generation-i,440
54,psyduck,water,0,19,damp / cloud-nine,swift-swim,50,52,48,65,50,55,False,False,generation-i,320
55,golduck,water,1,76,damp / cloud-nine,swift-swim,80,82,78,95,80,85,False,False,generation-i,500
56,mankey,fighting,0,28,vital-spirit / anger-point,defiant,40,80,35,35,45,70,False,False,generation-i,305
57,primeape,fighting,1,32,vital-spirit / anger-point,defiant,65,105,60,60,70,95,False,False,generation-i,455
58,growlithe,fire,0,19,intimidate / flash-fire,justified,55,70,45,70,50,60,False,False,generation-i,350
58,growlithe-hisui,fire / rock,0,22,intimidate / flash-fire,rock-head,60,75,45,65,50,55,False,False,generation-i,350
59,arcanine,fire,1,155,intimidate / flash-fire,justified,90,110,80,100,80,95,False,False,generation-i,555
59,arcanine-hisui,fire / rock,2,168,intimidate / flash-fire,rock-head,95,115,80,95,80,90,False,False,generation-i,555
60,poliwag,water,0,12,water-absorb / damp,swift-swim,40,50,40,40,40,90,False,False,generation-i,300
61,poliwhirl,water,1,20,water-absorb / damp,swift-swim,65,65,65,50,50,90,False,False,generation-i,385
62,poliwrath,water / fighting,1,54,water-absorb / damp,swift-swim,90,95,95,70,90,70,False,False,generation-i,510
63,abra,psychic,0,19,synchronize / inner-focus,magic-guard,25,20,15,105,55,90,False,False,generation-i,310
64,kadabra,psychic,1,56,synchronize / inner-focus,magic-guard,40,35,30,120,70,105,False,False,generation-i,400
65,alakazam,psychic,1,48,synchronize / inner-focus,magic-guard,55,50,45,135,95,120,False,False,generation-i,500
65,alakazam-mega,psychic,1,48,trace,None ,55,50,65,175,105,150,False,False,generation-i,600
66,machop,fighting,0,19,guts / no-guard,steadfast,70,80,50,35,35,35,False,False,generation-i,305
67,machoke,fighting,1,70,guts / no-guard,steadfast,80,100,70,50,60,45,False,False,generation-i,405
68,machamp,fighting,1,130,guts / no-guard,steadfast,90,130,80,65,85,55,False,False,generation-i,505
68,machamp-gmax,fighting,25,1000,guts / no-guard,steadfast,90,130,80,65,85,55,False,False,generation-i,505
69,bellsprout,grass / poison,0,4,chlorophyll,gluttony,50,75,35,70,30,40,False,False,generation-i,300
70,weepinbell,grass / poison,1,6,chlorophyll,gluttony,65,90,50,85,45,55,False,False,generation-i,390
71,victreebel,grass / poison,1,15,chlorophyll,gluttony,80,105,65,100,70,70,False,False,generation-i,490
72,tentacool,water / poison,0,45,clear-body / liquid-ooze,rain-dish,40,40,35,50,100,70,False,False,generation-i,335
73,tentacruel,water / poison,1,55,clear-body / liquid-ooze,rain-dish,80,70,65,80,120,100,False,False,generation-i,515
74,geodude,rock / ground,0,20,rock-head / sturdy,sand-veil,40,80,100,30,30,20,False,False,generation-i,300
74,geodude-alola,rock / electric,0,20,magnet-pull / sturdy,galvanize,40,80,100,30,30,20,False,False,generation-i,300
75,graveler,rock / ground,1,105,rock-head / sturdy,sand-veil,55,95,115,45,45,35,False,False,generation-i,390
75,graveler-alola,rock / electric,1,110,magnet-pull / sturdy,galvanize,55,95,115,45,45,35,False,False,generation-i,390
76,golem,rock / ground,1,300,rock-head / sturdy,sand-veil,80,120,130,55,65,45,False,False,generation-i,495
76,golem-alola,rock / electric,1,316,magnet-pull / sturdy,galvanize,80,120,130,55,65,45,False,False,generation-i,495
77,ponyta,fire,1,30,run-away / flash-fire,flame-body,50,85,55,65,65,90,False,False,generation-i,410
77,ponyta-galar,psychic,0,24,run-away / pastel-veil,anticipation,50,85,55,65,65,90,False,False,generation-i,410
78,rapidash,fire,1,95,run-away / flash-fire,flame-body,65,100,70,80,80,105,False,False,generation-i,500
78,rapidash-galar,psychic / fairy,1,80,run-away / pastel-veil,anticipation,65,100,70,80,80,105,False,False,generation-i,500
79,slowpoke,water / psychic,1,36,oblivious / own-tempo,regenerator,90,65,65,40,40,15,False,False,generation-i,315
79,slowpoke-galar,psychic,1,36,gluttony / own-tempo,regenerator,90,65,65,40,40,15,False,False,generation-i,315
80,slowbro,water / psychic,1,78,oblivious / own-tempo,regenerator,95,75,110,100,80,30,False,False,generation-i,490
80,slowbro-mega,water / psychic,2,120,shell-armor,None ,95,75,180,130,80,30,False,False,generation-i,590
80,slowbro-galar,poison / psychic,1,70,quick-draw / own-tempo,regenerator,95,100,95,100,70,30,False,False,generation-i,490
81,magnemite,electric / steel,0,6,magnet-pull / sturdy,analytic,25,35,70,95,55,45,False,False,generation-i,325
82,magneton,electric / steel,1,60,magnet-pull / sturdy,analytic,50,60,95,120,70,70,False,False,generation-i,465
83,farfetchd,normal / flying,0,15,keen-eye / inner-focus,defiant,52,90,55,58,62,60,False,False,generation-i,377
83,farfetchd-galar,fighting,0,42,steadfast,scrappy,52,95,55,58,62,55,False,False,generation-i,377
84,doduo,normal / flying,1,39,run-away / early-bird,tangled-feet,35,85,45,35,35,75,False,False,generation-i,310
85,dodrio,normal / flying,1,85,run-away / early-bird,tangled-feet,60,110,70,60,60,110,False,False,generation-i,470
86,seel,water,1,90,thick-fat / hydration,ice-body,65,45,55,45,70,45,False,False,generation-i,325
87,dewgong,water / ice,1,120,thick-fat / hydration,ice-body,90,70,80,70,95,70,False,False,generation-i,475
88,grimer,poison,0,30,stench / sticky-hold,poison-touch,80,80,50,40,50,25,False,False,generation-i,325
88,grimer-alola,poison / dark,0,42,poison-touch / gluttony,power-of-alchemy,80,80,50,40,50,25,False,False,generation-i,325
89,muk,poison,1,30,stench / sticky-hold,poison-touch,105,105,75,65,100,50,False,False,generation-i,500
89,muk-alola,poison / dark,1,52,poison-touch / gluttony,power-of-alchemy,105,105,75,65,100,50,False,False,generation-i,500
90,shellder,water,0,4,shell-armor / skill-link,overcoat,30,65,100,45,25,40,False,False,generation-i,305
91,cloyster,water / ice,1,132,shell-armor / skill-link,overcoat,50,95,180,85,45,70,False,False,generation-i,525
92,gastly,ghost / poison,1,0,levitate,None ,30,35,30,100,35,80,False,False,generation-i,310
93,haunter,ghost / poison,1,0,levitate,None ,45,50,45,115,55,95,False,False,generation-i,405
94,gengar,ghost / poison,1,40,cursed-body,None ,60,65,60,130,75,110,False,False,generation-i,500
94,gengar-mega,ghost / poison,1,40,shadow-tag,None ,60,65,80,170,95,130,False,False,generation-i,600
94,gengar-gmax,ghost / poison,20,1000,cursed-body,None ,60,65,60,130,75,110,False,False,generation-i,500
95,onix,rock / ground,8,210,rock-head / sturdy,weak-armor,35,45,160,30,45,70,False,False,generation-i,385
96,drowzee,psychic,1,32,insomnia / forewarn,inner-focus,60,48,45,43,90,42,False,False,generation-i,328
97,hypno,psychic,1,75,insomnia / forewarn,inner-focus,85,73,70,73,115,67,False,False,generation-i,483
98,krabby,water,0,6,hyper-cutter / shell-armor,sheer-force,30,105,90,25,25,50,False,False,generation-i,325
99,kingler,water,1,60,hyper-cutter / shell-armor,sheer-force,55,130,115,50,50,75,False,False,generation-i,475
99,kingler-gmax,water,19,1000,hyper-cutter / shell-armor,sheer-force,55,130,115,50,50,75,False,False,generation-i,475
100,voltorb,electric,0,10,soundproof / static,aftermath,40,30,50,55,55,100,False,False,generation-i,330
100,voltorb-hisui,electric / grass,0,13,soundproof / static,aftermath,40,30,50,55,55,100,False,False,generation-i,330
101,electrode,electric,1,66,soundproof / static,aftermath,60,50,70,80,80,150,False,False,generation-i,490
101,electrode-hisui,electric / grass,1,71,soundproof / static,aftermath,60,50,70,80,80,150,False,False,generation-i,490
102,exeggcute,grass / psychic,0,2,chlorophyll,harvest,60,40,80,60,45,40,False,False,generation-i,325
103,exeggutor,grass / psychic,2,120,chlorophyll,harvest,95,95,85,125,75,55,False,False,generation-i,530
103,exeggutor-alola,grass / dragon,10,415,frisk,harvest,95,105,85,125,75,45,False,False,generation-i,530
104,cubone,ground,0,6,rock-head / lightning-rod,battle-armor,50,50,95,40,50,35,False,False,generation-i,320
105,marowak,ground,1,45,rock-head / lightning-rod,battle-armor,60,80,110,50,80,45,False,False,generation-i,425
105,marowak-alola,fire / ghost,1,34,cursed-body / lightning-rod,rock-head,60,80,110,50,80,45,False,False,generation-i,425
105,marowak-totem,fire / ghost,1,98,cursed-body / lightning-rod,rock-head,60,80,110,50,80,45,False,False,generation-i,425
106,hitmonlee,fighting,1,49,limber / reckless,unburden,50,120,53,35,110,87,False,False,generation-i,455
107,hitmonchan,fighting,1,50,keen-eye / iron-fist,inner-focus,50,105,79,35,110,76,False,False,generation-i,455
108,lickitung,normal,1,65,own-tempo / oblivious,cloud-nine,90,55,75,60,75,30,False,False,generation-i,385
109,koffing,poison,0,1,levitate / neutralizing-gas,stench,40,65,95,60,45,35,False,False,generation-i,340
110,weezing,poison,1,9,levitate / neutralizing-gas,stench,65,90,120,85,70,60,False,False,generation-i,490
110,weezing-galar,poison / fairy,3,16,levitate / neutralizing-gas,misty-surge,65,90,120,85,70,60,False,False,generation-i,490
111,rhyhorn,ground / rock,1,115,lightning-rod / rock-head,reckless,80,85,95,30,30,25,False,False,generation-i,345
112,rhydon,ground / rock,1,120,lightning-rod / rock-head,reckless,105,130,120,45,45,40,False,False,generation-i,485
113,chansey,normal,1,34,natural-cure / serene-grace,healer,250,5,5,35,105,50,False,False,generation-i,450
114,tangela,grass,1,35,chlorophyll / leaf-guard,regenerator,65,55,115,100,40,60,False,False,generation-i,435
115,kangaskhan,normal,2,80,early-bird / scrappy,inner-focus,105,95,80,40,80,90,False,False,generation-i,490
115,kangaskhan-mega,normal,2,100,parental-bond,None ,105,125,100,60,100,100,False,False,generation-i,590
116,horsea,water,0,8,swift-swim / sniper,damp,30,40,70,70,25,60,False,False,generation-i,295
117,seadra,water,1,25,poison-point / sniper,damp,55,65,95,95,45,85,False,False,generation-i,440
118,goldeen,water,0,15,swift-swim / water-veil,lightning-rod,45,67,60,35,50,63,False,False,generation-i,320
119,seaking,water,1,39,swift-swim / water-veil,lightning-rod,80,92,65,65,80,68,False,False,generation-i,450
120,staryu,water,0,34,illuminate / natural-cure,analytic,30,45,55,70,55,85,False,False,generation-i,340
121,starmie,water / psychic,1,80,illuminate / natural-cure,analytic,60,75,85,100,85,115,False,False,generation-i,520
122,mr-mime,psychic / fairy,1,54,soundproof / filter,technician,40,45,65,100,120,90,False,False,generation-i,460
122,mr-mime-galar,ice / psychic,1,56,vital-spirit / screen-cleaner,ice-body,50,65,65,90,90,100,False,False,generation-i,460
123,scyther,bug / flying,1,56,swarm / technician,steadfast,70,110,80,55,80,105,False,False,generation-i,500
124,jynx,ice / psychic,1,40,oblivious / forewarn,dry-skin,65,50,35,115,95,95,False,False,generation-i,455
125,electabuzz,electric,1,30,static,vital-spirit,65,83,57,95,85,105,False,False,generation-i,490
126,magmar,fire,1,44,flame-body,vital-spirit,65,95,57,100,85,93,False,False,generation-i,495
127,pinsir,bug,1,55,hyper-cutter / mold-breaker,moxie,65,125,100,55,70,85,False,False,generation-i,500
127,pinsir-mega,bug / flying,1,59,aerilate,None ,65,155,120,65,90,105,False,False,generation-i,600
128,tauros,normal,1,88,intimidate / anger-point,sheer-force,75,100,95,40,70,110,False,False,generation-i,490
128,tauros-paldea-combat-breed,fighting,1,115,intimidate / anger-point,cud-chew,75,110,105,30,70,100,False,False,generation-i,490
128,tauros-paldea-blaze-breed,fighting / fire,1,85,intimidate / anger-point,cud-chew,75,110,105,30,70,100,False,False,generation-i,490
128,tauros-paldea-aqua-breed,fighting / water,1,110,intimidate / anger-point,cud-chew,75,110,105,30,70,100,False,False,generation-i,490
129,magikarp,water,0,10,swift-swim,rattled,20,10,55,15,20,80,False,False,generation-i,200
130,gyarados,water / flying,6,235,intimidate,moxie,95,125,79,60,100,81,False,False,generation-i,540
130,gyarados-mega,water / dark,6,305,mold-breaker,None ,95,155,109,70,130,81,False,False,generation-i,640
131,lapras,water / ice,2,220,water-absorb / shell-armor,hydration,130,85,80,85,95,60,False,False,generation-i,535
131,lapras-gmax,water / ice,24,1000,water-absorb / shell-armor,hydration,130,85,80,85,95,60,False,False,generation-i,535
132,ditto,normal,0,4,limber,imposter,48,48,48,48,48,48,False,False,generation-i,288
133,eevee,normal,0,6,run-away / adaptability,anticipation,55,55,50,45,65,55,False,False,generation-i,325
133,eevee-starter,normal,0,6,run-away / adaptability,anticipation,65,75,70,65,85,75,False,False,generation-i,435
133,eevee-gmax,normal,18,1000,run-away / adaptability,anticipation,55,55,50,45,65,55,False,False,generation-i,325
134,vaporeon,water,1,29,water-absorb,hydration,130,65,60,110,95,65,False,False,generation-i,525
135,jolteon,electric,0,24,volt-absorb,quick-feet,65,65,60,110,95,130,False,False,generation-i,525
136,flareon,fire,0,25,flash-fire,guts,65,130,60,95,110,65,False,False,generation-i,525
137,porygon,normal,0,36,trace / download,analytic,65,60,70,85,75,40,False,False,generation-i,395
138,omanyte,rock / water,0,7,swift-swim / shell-armor,weak-armor,35,40,100,90,55,35,False,False,generation-i,355
139,omastar,rock / water,1,35,swift-swim / shell-armor,weak-armor,70,60,125,115,70,55,False,False,generation-i,495
140,kabuto,rock / water,0,11,swift-swim / battle-armor,weak-armor,30,80,90,55,45,55,False,False,generation-i,355
141,kabutops,rock / water,1,40,swift-swim / battle-armor,weak-armor,60,115,105,65,70,80,False,False,generation-i,495
142,aerodactyl,rock / flying,1,59,rock-head / pressure,unnerve,80,105,65,60,75,130,False,False,generation-i,515
142,aerodactyl-mega,rock / flying,2,79,tough-claws,None ,80,135,85,70,95,150,False,False,generation-i,615
143,snorlax,normal,2,460,immunity / thick-fat,gluttony,160,110,65,65,110,30,False,False,generation-i,540
143,snorlax-gmax,normal,35,1000,immunity / thick-fat,gluttony,160,110,65,65,110,30,False,False,generation-i,540
144,articuno,ice / flying,1,55,pressure,snow-cloak,90,85,100,95,125,85,True,False,generation-i,580
144,articuno-galar,psychic / flying,1,50,competitive,None ,90,85,85,125,100,95,True,False,generation-i,580
145,zapdos,electric / flying,1,52,pressure,static,90,90,85,125,90,100,True,False,generation-i,580
145,zapdos-galar,fighting / flying,1,58,defiant,None ,90,125,90,85,90,100,True,False,generation-i,580
146,moltres,fire / flying,2,60,pressure,flame-body,90,100,90,125,85,90,True,False,generation-i,580
146,moltres-galar,dark / flying,2,66,berserk,None ,90,85,90,100,125,90,True,False,generation-i,580
147,dratini,dragon,1,3,shed-skin,marvel-scale,41,64,45,50,50,50,False,False,generation-i,300
148,dragonair,dragon,4,16,shed-skin,marvel-scale,61,84,65,70,70,70,False,False,generation-i,420
149,dragonite,dragon / flying,2,210,inner-focus,multiscale,91,134,95,100,100,80,False,False,generation-i,600
150,mewtwo,psychic,2,122,pressure,unnerve,106,110,90,154,90,130,True,False,generation-i,680
150,mewtwo-mega-x,psychic / fighting,2,127,steadfast,None ,106,190,100,154,100,130,True,False,generation-i,780
150,mewtwo-mega-y,psychic,1,33,insomnia,None ,106,150,70,194,120,140,True,False,generation-i,780
151,mew,psychic,0,4,synchronize,None ,100,100,100,100,100,100,False,True,generation-i,600
152,chikorita,grass,0,6,overgrow,leaf-guard,45,49,65,49,65,45,False,False,generation-ii,318
153,bayleef,grass,1,15,overgrow,leaf-guard,60,62,80,63,80,60,False,False,generation-ii,405
154,meganium,grass,1,100,overgrow,leaf-guard,80,82,100,83,100,80,False,False,generation-ii,525
155,cyndaquil,fire,0,7,blaze,flash-fire,39,52,43,60,50,65,False,False,generation-ii,309
156,quilava,fire,0,19,blaze,flash-fire,58,64,58,80,65,80,False,False,generation-ii,405
157,typhlosion,fire,1,79,blaze,flash-fire,78,84,78,109,85,100,False,False,generation-ii,534
157,typhlosion-hisui,fire / ghost,1,69,blaze,frisk,73,84,78,119,85,95,False,False,generation-ii,534
158,totodile,water,0,9,torrent,sheer-force,50,65,64,44,48,43,False,False,generation-ii,314
159,croconaw,water,1,25,torrent,sheer-force,65,80,80,59,63,58,False,False,generation-ii,405
160,feraligatr,water,2,88,torrent,sheer-force,85,105,100,79,83,78,False,False,generation-ii,530
161,sentret,normal,0,6,run-away / keen-eye,frisk,35,46,34,35,45,20,False,False,generation-ii,215
162,furret,normal,1,32,run-away / keen-eye,frisk,85,76,64,45,55,90,False,False,generation-ii,415
163,hoothoot,normal / flying,0,21,insomnia / keen-eye,tinted-lens,60,30,30,36,56,50,False,False,generation-ii,262
164,noctowl,normal / flying,1,40,insomnia / keen-eye,tinted-lens,100,50,50,86,96,70,False,False,generation-ii,452
165,ledyba,bug / flying,1,10,swarm / early-bird,rattled,40,20,30,40,80,55,False,False,generation-ii,265
166,ledian,bug / flying,1,35,swarm / early-bird,iron-fist,55,35,50,55,110,85,False,False,generation-ii,390
167,spinarak,bug / poison,0,8,swarm / insomnia,sniper,40,60,40,40,40,30,False,False,generation-ii,250
168,ariados,bug / poison,1,33,swarm / insomnia,sniper,70,90,70,60,70,40,False,False,generation-ii,400
169,crobat,poison / flying,1,75,inner-focus,infiltrator,85,90,80,70,80,130,False,False,generation-ii,535
170,chinchou,water / electric,0,12,volt-absorb / illuminate,water-absorb,75,38,38,56,56,67,False,False,generation-ii,330
171,lanturn,water / electric,1,22,volt-absorb / illuminate,water-absorb,125,58,58,76,76,67,False,False,generation-ii,460
172,pichu,electric,0,2,static,lightning-rod,20,40,15,35,35,60,False,False,generation-ii,205
173,cleffa,fairy,0,3,cute-charm / magic-guard,friend-guard,50,25,28,45,55,15,False,False,generation-ii,218
174,igglybuff,normal / fairy,0,1,cute-charm / competitive,friend-guard,90,30,15,40,20,15,False,False,generation-ii,210
175,togepi,fairy,0,1,hustle / serene-grace,super-luck,35,20,65,40,65,20,False,False,generation-ii,245
176,togetic,fairy / flying,0,3,hustle / serene-grace,super-luck,55,40,85,80,105,40,False,False,generation-ii,405
177,natu,psychic / flying,0,2,synchronize / early-bird,magic-bounce,40,50,45,70,45,70,False,False,generation-ii,320
178,xatu,psychic / flying,1,15,synchronize / early-bird,magic-bounce,65,75,70,95,70,95,False,False,generation-ii,470
179,mareep,electric,0,7,static,plus,55,40,40,65,45,35,False,False,generation-ii,280
180,flaaffy,electric,0,13,static,plus,70,55,55,80,60,45,False,False,generation-ii,365
