index,name,type1,type2,ability1,ability2,hidden_ability,height,weight,hp,attack,defense,sp_atk,sp_def,speed,total_stats,legendary,mythical,generation,VGCusage2022,VGCusage2023,VGCusage2024
9,blastoise-mega,water,None,mega-launcher,None,None ,1,101,79,103,120,135,115,78,630,False,False,generation-i,NoUsage,NoUsage,NoUsage
9,blastoise-gmax,water,None,torrent,None,rain-dish,25,1000,79,83,100,85,105,78,530,False,False,generation-i,NoUsage,NoUsage,NoUsage
10,caterpie,bug,None,shield-dust,None,run-away,0,2,45,30,35,20,20,45,195,False,False,generation-i,0.0,NoUsage,NoUsage
11,metapod,bug,None,shed-skin,None,None ,0,9,50,20,55,25,25,30,205,False,False,generation-i,0.0,NoUsage,NoUsage
12,butterfree,bug,flying,compound-eyes,None,tinted-lens,1,32,60,45,50,90,80,70,395,False,False,generation-i,0.04471,NoUsage,NoUsage
12,butterfree-gmax,bug,flying,compound-eyes,None,tinted-lens,17,1000,60,45,50,90,80,70,395,False,False,generation-i,NoUsage,NoUsage,NoUsage
13,weedle,bug,poison,shield-dust,None,run-away,0,3,40,35,30,20,20,50,195,False,False,generation-i,NoUsage,NoUsage,NoUsage
14,kakuna,bug,poison,shed-skin,None,None ,0,10,45,25,50,25,25,35,205,False,False,generation-i,NoUsage,NoUsage,NoUsage
15,beedrill,bug,poison,swarm,None,sniper,1,29,65,90,40,45,80,75,395,False,False,generation-i,NoUsage,NoUsage,NoUsage
15,beedrill-mega,bug,poison,adaptability,None,None ,1,40,65,150,40,15,80,145,495,False,False,generation-i,NoUsage,NoUsage,NoUsage
16,pidgey,normal,flying,keen-eye,tangled-feet,big-pecks,0,1,40,45,40,35,35,56,251,False,False,generation-i,NoUsage,NoUsage,NoUsage
17,pidgeotto,normal,flying,keen-eye,tangled-feet,big-pecks,1,30,63,60,55,50,50,71,349,False,False,generation-i,NoUsage,NoUsage,NoUsage
18,pidgeot,normal,flying,keen-eye,tangled-feet,big-pecks,1,39,83,80,75,70,70,101,479,False,False,generation-i,NoUsage,NoUsage,NoUsage
18,pidgeot-mega,normal,flying,no-guard,None,None ,2,50,83,80,80,135,80,121,579,False,False,generation-i,NoUsage,NoUsage,NoUsage
19,rattata,normal,None,run-away,guts,hustle,0,3,30,56,35,25,35,72,253,False,False,generation-i,NoUsage,NoUsage,NoUsage
19,rattata-alola,dark,normal,gluttony,hustle,thick-fat,0,3,30,56,35,25,35,72,253,False,False,generation-i,NoUsage,NoUsage,NoUsage
20,raticate,normal,None,run-away,guts,hustle,0,18,55,81,60,50,70,97,413,False,False,generation-i,NoUsage,NoUsage,NoUsage
20,raticate-alola,dark,normal,gluttony,hustle,thick-fat,0,25,75,71,70,40,80,77,413,False,False,generation-i,NoUsage,NoUsage,NoUsage
20,raticate-totem-alola,dark,normal,gluttony,hustle,thick-fat,1,105,75,71,70,40,80,77,413,False,False,generation-i,NoUsage,NoUsage,NoUsage
21,spearow,normal,flying,keen-eye,None,sniper,0,2,40,60,30,31,31,70,262,False,False,generation-i,NoUsage,NoUsage,NoUsage
22,fearow,normal,flying,keen-eye,None,sniper,1,38,65,90,65,61,61,100,442,False,False,generation-i,NoUsage,NoUsage,NoUsage
23,ekans,poison,None,intimidate,shed-skin,unnerve,2,6,35,60,44,40,54,55,288,False,False,generation-i,NoUsage,5e-05,0.0
24,arbok,poison,None,intimidate,shed-skin,unnerve,3,65,60,95,69,65,79,80,448,False,False,generation-i,NoUsage,0.04876,0.00779
25,pikachu,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i,0.15854,0.00831,0.09502
25,pikachu-rock-star,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage
25,pikachu-belle,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage
25,pikachu-pop-star,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage
25,pikachu-phd,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage
25,pikachu-libre,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage
25,pikachu-cosplay,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage
25,pikachu-original-cap,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage
25,pikachu-hoenn-cap,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage
25,pikachu-sinnoh-cap,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage
25,pikachu-unova-cap,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage
25,pikachu-kalos-cap,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage
25,pikachu-alola-cap,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage
25,pikachu-partner-cap,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage
25,pikachu-starter,electric,None,static,None,lightning-rod,0,6,45,80,50,75,60,120,430,False,False,generation-i,NoUsage,NoUsage,NoUsage
25,pikachu-world-cap,electric,None,static,None,lightning-rod,0,6,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage
25,pikachu-gmax,electric,None,static,None,lightning-rod,21,1000,35,55,40,50,50,90,320,False,False,generation-i,NoUsage,NoUsage,NoUsage
26,raichu,electric,None,static,None,lightning-rod,0,30,60,90,55,90,80,110,485,False,False,generation-i,5.14672,0.23088,0.04308
26,raichu-alola,electric,psychic,surge-surfer,None,None ,0,21,60,85,50,95,85,110,485,False,False,generation-i,0.00562,0.0096,0.00836
27,sandshrew,ground,None,sand-veil,None,sand-rush,0,12,50,75,85,20,30,40,300,False,False,generation-i,0.0,0.0,0.0
27,sandshrew-alola,ice,steel,snow-cloak,None,slush-rush,0,40,50,75,90,10,35,40,300,False,False,generation-i,0.0,0.0,0.0
28,sandslash,ground,None,sand-veil,None,sand-rush,1,29,75,100,110,45,55,65,450,False,False,generation-i,0.0,0.00383,0.0
28,sandslash-alola,ice,steel,snow-cloak,None,slush-rush,1,55,75,100,120,25,65,65,450,False,False,generation-i,0.0003,0.1416,0.00712
29,nidoranf,poison,None,poison-point,rivalry,hustle,0,7,55,47,52,40,40,41,275,False,False,generation-i,0.0,NoUsage,NoUsage
30,nidorina,poison,None,poison-point,rivalry,hustle,0,20,70,62,67,55,55,56,365,False,False,generation-i,0.0,NoUsage,NoUsage
31,nidoqueen,poison,ground,poison-point,rivalry,sheer-force,1,60,90,92,87,75,85,76,505,False,False,generation-i,3e-05,NoUsage,NoUsage
32,nidoranm,poison,None,poison-point,rivalry,hustle,0,9,46,57,40,40,40,50,273,False,False,generation-i,0.0,NoUsage,NoUsage
33,nidorino,poison,None,poison-point,rivalry,hustle,0,19,61,72,57,55,55,65,365,False,False,generation-i,0.0,NoUsage,NoUsage
34,nidoking,poison,ground,poison-point,rivalry,sheer-force,1,62,81,102,77,85,75,85,505,False,False,generation-i,0.01135,NoUsage,NoUsage
35,clefairy,fairy,None,cute-charm,magic-guard,friend-guard,0,7,70,45,48,60,65,35,323,False,False,generation-i,0.8427,3.27868,0.52346
36,clefable,fairy,None,cute-charm,magic-guard,unaware,1,40,95,70,73,95,90,60,483,False,False,generation-i,0.08481,0.14252,0.02832
37,vulpix,fire,None,flash-fire,None,drought,0,9,38,41,40,50,65,65,299,False,False,generation-i,0.0,1e-05,0.0
37,vulpix-alola,ice,None,snow-cloak,None,snow-warning,0,9,38,41,40,50,65,65,299,False,False,generation-i,0.0,0.00027,0.0
38,ninetales,fire,None,flash-fire,None,drought,1,19,73,76,75,81,100,100,505,False,False,generation-i,0.00462,0.89173,0.26427
38,ninetales-alola,ice,fairy,snow-cloak,None,snow-warning,1,19,73,67,75,81,100,109,505,False,False,generation-i,0.10998,8.36146,1.41708
39,jigglypuff,normal,fairy,cute-charm,competitive,friend-guard,0,5,115,45,20,45,25,20,270,False,False,generation-i,0.01032,2e-05,0.00064
40,wigglytuff,normal,fairy,cute-charm,competitive,frisk,1,12,140,70,45,85,50,45,435,False,False,generation-i,1e-05,0.01243,0.00096
41,zubat,poison,flying,inner-focus,None,infiltrator,0,7,40,45,35,30,40,55,245,False,False,generation-i,0.0,NoUsage,NoUsage
42,golbat,poison,flying,inner-focus,None,infiltrator,1,55,75,80,70,65,75,90,455,False,False,generation-i,0.0,NoUsage,NoUsage
43,oddish,grass,poison,chlorophyll,None,run-away,0,5,45,50,55,75,65,30,320,False,False,generation-i,0.0,NoUsage,0.0
44,gloom,grass,poison,chlorophyll,None,stench,0,8,60,65,70,85,75,40,395,False,False,generation-i,0.0,NoUsage,0.00022
45,vileplume,grass,poison,chlorophyll,None,effect-spore,1,18,75,80,85,110,90,50,490,False,False,generation-i,0.0,NoUsage,0.00475
46,paras,bug,grass,effect-spore,dry-skin,damp,0,5,35,70,55,45,55,25,285,False,False,generation-i,NoUsage,NoUsage,NoUsage
47,parasect,bug,grass,effect-spore,dry-skin,damp,1,29,60,95,80,60,80,30,405,False,False,generation-i,NoUsage,NoUsage,NoUsage
48,venonat,bug,poison,compound-eyes,tinted-lens,run-away,1,30,60,55,50,40,55,45,305,False,False,generation-i,NoUsage,0.0,0.0
49,venomoth,bug,poison,shield-dust,tinted-lens,wonder-skin,1,12,70,65,60,90,75,90,450,False,False,generation-i,NoUsage,0.00453,0.00016
50,diglett,ground,None,sand-veil,arena-trap,sand-force,0,0,10,55,25,35,45,95,265,False,False,generation-i,0.0,0.0,0.0
50,diglett-alola,ground,steel,sand-veil,tangling-hair,sand-force,0,1,10,55,30,35,45,90,265,False,False,generation-i,0.0,0.0,0.0
51,dugtrio,ground,None,sand-veil,arena-trap,sand-force,0,33,35,100,50,50,70,120,425,False,False,generation-i,0.02237,0.02947,0.00138
51,dugtrio-alola,ground,steel,sand-veil,tangling-hair,sand-force,0,66,35,100,60,50,70,110,425,False,False,generation-i,0.0,0.00079,0.0001
52,meowth,normal,None,pickup,technician,unnerve,0,4,40,45,35,40,40,90,290,False,False,generation-i,0.0,0.0,0.0
52,meowth-alola,dark,None,pickup,technician,rattled,0,4,40,35,35,50,40,90,290,False,False,generation-i,0.0,0.0,0.0
52,meowth-galar,steel,None,pickup,tough-claws,unnerve,0,7,50,65,55,40,40,40,290,False,False,generation-i,0.0,0.0,0.0
52,meowth-gmax,normal,None,pickup,technician,unnerve,33,1000,40,45,35,40,40,90,290,False,False,generation-i,NoUsage,NoUsage,NoUsage
53,persian,normal,None,limber,technician,unnerve,1,32,65,70,60,65,65,115,440,False,False,generation-i,0.0,0.01124,0.00063
53,persian-alola,dark,None,fur-coat,technician,rattled,1,33,65,60,60,75,65,115,440,False,False,generation-i,0.3081,0.14897,0.0209
54,psyduck,water,None,damp,cloud-nine,swift-swim,0,19,50,52,48,65,50,55,320,False,False,generation-i,0.0,0.0,1e-05
55,golduck,water,None,damp,cloud-nine,swift-swim,1,76,80,82,78,95,80,85,500,False,False,generation-i,0.01611,0.02501,0.01269
56,mankey,fighting,None,vital-spirit,anger-point,defiant,0,28,40,80,35,35,45,70,305,False,False,generation-i,NoUsage,0.0,0.0
57,primeape,fighting,None,vital-spirit,anger-point,defiant,1,32,65,105,60,60,70,95,455,False,False,generation-i,NoUsage,0.00163,0.00747
58,growlithe,fire,None,intimidate,flash-fire,justified,0,19,55,70,45,70,50,60,350,False,False,generation-i,0.0,0.0,0.0
58,growlithe-hisui,fire,rock,intimidate,flash-fire,rock-head,0,22,60,75,45,65,50,55,350,False,False,generation-i,NoUsage,0.0,0.0
59,arcanine,fire,None,intimidate,flash-fire,justified,1,155,90,110,80,100,80,95,555,False,False,generation-i,0.26863,21.3707,0.10139
59,arcanine-hisui,fire,rock,intimidate,flash-fire,rock-head,2,168,95,115,80,95,80,90,555,False,False,generation-i,NoUsage,3.89183,3.26922
60,poliwag,water,None,water-absorb,damp,swift-swim,0,12,40,50,40,40,40,90,300,False,False,generation-i,0.0,0.0,0.0
61,poliwhirl,water,None,water-absorb,damp,swift-swim,1,20,65,65,65,50,50,90,385,False,False,generation-i,0.0,0.0,1e-05
62,poliwrath,water,fighting,water-absorb,damp,swift-swim,1,54,90,95,95,70,90,70,510,False,False,generation-i,0.00276,0.03525,0.00365
63,abra,psychic,None,synchronize,inner-focus,magic-guard,0,19,25,20,15,105,55,90,310,False,False,generation-i,0.0,NoUsage,NoUsage
64,kadabra,psychic,None,synchronize,inner-focus,magic-guard,1,56,40,35,30,120,70,105,400,False,False,generation-i,0.0,NoUsage,NoUsage
65,alakazam,psychic,None,synchronize,inner-focus,magic-guard,1,48,55,50,45,135,95,120,500,False,False,generation-i,0.00749,NoUsage,NoUsage
65,alakazam-mega,psychic,None,trace,None,None ,1,48,55,50,65,175,105,150,600,False,False,generation-i,NoUsage,NoUsage,NoUsage
66,machop,fighting,None,guts,no-guard,steadfast,0,19,70,80,50,35,35,35,305,False,False,generation-i,0.0,NoUsage,NoUsage
67,machoke,fighting,None,guts,no-guard,steadfast,1,70,80,100,70,50,60,45,405,False,False,generation-i,0.0,NoUsage,NoUsage
68,machamp,fighting,None,guts,no-guard,steadfast,1,130,90,130,80,65,85,55,505,False,False,generation-i,0.00738,NoUsage,NoUsage
68,machamp-gmax,fighting,None,guts,no-guard,steadfast,25,1000,90,130,80,65,85,55,505,False,False,generation-i,NoUsage,NoUsage,NoUsage
69,bellsprout,grass,poison,chlorophyll,None,gluttony,0,4,50,75,35,70,30,40,300,False,False,generation-i,NoUsage,0.0,0.0
70,weepinbell,grass,poison,chlorophyll,None,gluttony,1,6,65,90,50,85,45,55,390,False,False,generation-i,NoUsage,0.0,0.0
71,victreebel,grass,poison,chlorophyll,None,gluttony,1,15,80,105,65,100,70,70,490,False,False,generation-i,NoUsage,0.02946,0.00202
72,tentacool,water,poison,clear-body,liquid-ooze,rain-dish,0,45,40,40,35,50,100,70,335,False,False,generation-i,0.0,NoUsage,0.0
73,tentacruel,water,poison,clear-body,liquid-ooze,rain-dish,1,55,80,70,65,80,120,100,515,False,False,generation-i,1e-05,NoUsage,0.00485
74,geodude,rock,ground,rock-head,sturdy,sand-veil,0,20,40,80,100,30,30,20,300,False,False,generation-i,NoUsage,0.0,0.0
74,geodude-alola,rock,electric,magnet-pull,sturdy,galvanize,0,20,40,80,100,30,30,20,300,False,False,generation-i,NoUsage,0.0,0.0
75,graveler,rock,ground,rock-head,sturdy,sand-veil,1,105,55,95,115,45,45,35,390,False,False,generation-i,NoUsage,0.0,0.0
75,graveler-alola,rock,electric,magnet-pull,sturdy,galvanize,1,110,55,95,115,45,45,35,390,False,False,generation-i,NoUsage,0.00017,0.0
76,golem,rock,ground,rock-head,sturdy,sand-veil,1,300,80,120,130,55,65,45,495,False,False,generation-i,NoUsage,0.02096,0.00182
76,golem-alola,rock,electric,magnet-pull,sturdy,galvanize,1,316,80,120,130,55,65,45,495,False,False,generation-i,NoUsage,0.11525,0.05107
77,ponyta,fire,None,run-away,flash-fire,flame-body,1,30,50,85,55,65,65,90,410,False,False,generation-i,0.0,NoUsage,NoUsage
77,ponyta-galar,psychic,None,run-away,pastel-veil,anticipation,0,24,50,85,55,65,65,90,410,False,False,generation-i,0.0,NoUsage,NoUsage
78,rapidash,fire,None,run-away,flash-fire,flame-body,1,95,65,100,70,80,80,105,500,False,False,generation-i,0.0,NoUsage,NoUsage
78,rapidash-galar,psychic,fairy,run-away,pastel-veil,anticipation,1,80,65,100,70,80,80,105,500,False,False,generation-i,0.0,NoUsage,NoUsage
79,slowpoke,water,psychic,oblivious,own-tempo,regenerator,1,36,90,65,65,40,40,15,315,False,False,generation-i,0.0,0.02128,0.0022
79,slowpoke-galar,psychic,None,gluttony,own-tempo,regenerator,1,36,90,65,65,40,40,15,315,False,False,generation-i,0.0,2e-05,0.0
80,slowbro,water,psychic,oblivious,own-tempo,regenerator,1,78,95,75,110,100,80,30,490,False,False,generation-i,0.02799,0.05157,0.02571
80,slowbro-mega,water,psychic,shell-armor,None,None ,2,120,95,75,180,130,80,30,590,False,False,generation-i,NoUsage,NoUsage,NoUsage
80,slowbro-galar,poison,psychic,quick-draw,own-tempo,regenerator,1,70,95,100,95,100,70,30,490,False,False,generation-i,0.00542,0.03762,0.01184
81,magnemite,electric,steel,magnet-pull,sturdy,analytic,0,6,25,35,70,95,55,45,325,False,False,generation-i,0.0,0.0,0.0
82,magneton,electric,steel,magnet-pull,sturdy,analytic,1,60,50,60,95,120,70,70,465,False,False,generation-i,0.0,0.00409,0.00042
83,farfetchd,normal,flying,keen-eye,inner-focus,defiant,0,15,52,90,55,58,62,60,377,False,False,generation-i,NoUsage,NoUsage,NoUsage
83,farfetchd-galar,fighting,None,steadfast,None,scrappy,0,42,52,95,55,58,62,55,377,False,False,generation-i,NoUsage,NoUsage,NoUsage
84,doduo,normal,flying,run-away,early-bird,tangled-feet,1,39,35,85,45,35,35,75,310,False,False,generation-i,NoUsage,NoUsage,0.0
85,dodrio,normal,flying,run-away,early-bird,tangled-feet,1,85,60,110,70,60,60,110,470,False,False,generation-i,NoUsage,NoUsage,0.00376
86,seel,water,None,thick-fat,hydration,ice-body,1,90,65,45,55,45,70,45,325,False,False,generation-i,NoUsage,NoUsage,0.0
87,dewgong,water,ice,thick-fat,hydration,ice-body,1,120,90,70,80,70,95,70,475,False,False,generation-i,NoUsage,NoUsage,0.02417
88,grimer,poison,None,stench,sticky-hold,poison-touch,0,30,80,80,50,40,50,25,325,False,False,generation-i,NoUsage,0.0,0.0
88,grimer-alola,poison,dark,poison-touch,gluttony,power-of-alchemy,0,42,80,80,50,40,50,25,325,False,False,generation-i,NoUsage,0.0,0.0
89,muk,poison,None,stench,sticky-hold,poison-touch,1,30,105,105,75,65,100,50,500,False,False,generation-i,NoUsage,0.00064,0.00015
89,muk-alola,poison,dark,poison-touch,gluttony,power-of-alchemy,1,52,105,105,75,65,100,50,500,False,False,generation-i,NoUsage,0.25071,0.75696
90,shellder,water,None,shell-armor,skill-link,overcoat,0,4,30,65,100,45,25,40,305,False,False,generation-i,0.0,0.0,0.0
91,cloyster,water,ice,shell-armor,skill-link,overcoat,1,132,50,95,180,85,45,70,525,False,False,generation-i,0.00468,0.0565,0.00195
92,gastly,ghost,poison,levitate,None,None ,1,0,30,35,30,100,35,80,310,False,False,generation-i,0.0,0.0,0.0
93,haunter,ghost,poison,levitate,None,None ,1,0,45,50,45,115,55,95,405,False,False,generation-i,0.0,0.0,1e-05
94,gengar,ghost,poison,cursed-body,None,None ,1,40,60,65,60,130,75,110,500,False,False,generation-i,0.04475,0.0,0.03635
94,gengar-mega,ghost,poison,shadow-tag,None,None ,1,40,60,65,80,170,95,130,600,False,False,generation-i,NoUsage,NoUsage,NoUsage
94,gengar-gmax,ghost,poison,cursed-body,None,None ,20,1000,60,65,60,130,75,110,500,False,False,generation-i,NoUsage,NoUsage,NoUsage
95,onix,rock,ground,rock-head,sturdy,weak-armor,8,210,35,45,160,30,45,70,385,False,False,generation-i,0.0,NoUsage,NoUsage
96,drowzee,psychic,None,insomnia,forewarn,inner-focus,1,32,60,48,45,43,90,42,328,False,False,generation-i,NoUsage,0.0,0.0
97,hypno,psychic,None,insomnia,forewarn,inner-focus,1,75,85,73,70,73,115,67,483,False,False,generation-i,NoUsage,0.00997,0.0
98,krabby,water,None,hyper-cutter,shell-armor,sheer-force,0,6,30,105,90,25,25,50,325,False,False,generation-i,0.0,NoUsage,NoUsage
99,kingler,water,None,hyper-cutter,shell-armor,sheer-force,1,60,55,130,115,50,50,75,475,False,False,generation-i,0.00258,NoUsage,NoUsage
99,kingler-gmax,water,None,hyper-cutter,shell-armor,sheer-force,19,1000,55,130,115,50,50,75,475,False,False,generation-i,NoUsage,NoUsage,NoUsage
100,voltorb,electric,None,soundproof,static,aftermath,0,10,40,30,50,55,55,100,330,False,False,generation-i,NoUsage,0.0,0.0
100,voltorb-hisui,electric,grass,soundproof,static,aftermath,0,13,40,30,50,55,55,100,330,False,False,generation-i,NoUsage,0.0,0.0
101,electrode,electric,None,soundproof,static,aftermath,1,66,60,50,70,80,80,150,490,False,False,generation-i,NoUsage,0.10801,0.00041
101,electrode-hisui,electric,grass,soundproof,static,aftermath,1,71,60,50,70,80,80,150,490,False,False,generation-i,NoUsage,0.0931,0.00596
102,exeggcute,grass,psychic,chlorophyll,None,harvest,0,2,60,40,80,60,45,40,325,False,False,generation-i,0.0,NoUsage,0.0
103,exeggutor,grass,psychic,chlorophyll,None,harvest,2,120,95,95,85,125,75,55,530,False,False,generation-i,0.0059,NoUsage,0.07766
103,exeggutor-alola,grass,dragon,frisk,None,harvest,10,415,95,105,85,125,75,45,530,False,False,generation-i,0.00577,NoUsage,0.06737
104,cubone,ground,None,rock-head,lightning-rod,battle-armor,0,6,50,50,95,40,50,35,320,False,False,generation-i,0.0,NoUsage,NoUsage
105,marowak,ground,None,rock-head,lightning-rod,battle-armor,1,45,60,80,110,50,80,45,425,False,False,generation-i,0.04387,NoUsage,NoUsage
105,marowak-alola,fire,ghost,cursed-body,lightning-rod,rock-head,1,34,60,80,110,50,80,45,425,False,False,generation-i,0.25416,NoUsage,NoUsage
105,marowak-totem,fire,ghost,cursed-body,lightning-rod,rock-head,1,98,60,80,110,50,80,45,425,False,False,generation-i,NoUsage,NoUsage,NoUsage
106,hitmonlee,fighting,None,limber,reckless,unburden,1,49,50,120,53,35,110,87,455,False,False,generation-i,0.0,NoUsage,0.00557
107,hitmonchan,fighting,None,keen-eye,iron-fist,inner-focus,1,50,50,105,79,35,110,76,455,False,False,generation-i,0.0,NoUsage,0.00134
108,lickitung,normal,None,own-tempo,oblivious,cloud-nine,1,65,90,55,75,60,75,30,385,False,False,generation-i,0.0,NoUsage,NoUsage
109,koffing,poison,None,levitate,neutralizing-gas,stench,0,1,40,65,95,60,45,35,340,False,False,generation-i,0.0,0.00152,2e-05
110,weezing,poison,None,levitate,neutralizing-gas,stench,1,9,65,90,120,85,70,60,490,False,False,generation-i,1.28674,0.80234,0.49809
110,weezing-galar,poison,fairy,levitate,neutralizing-gas,misty-surge,3,16,65,90,120,85,70,60,490,False,False,generation-i,0.04753,1.12353,0.31882
111,rhyhorn,ground,rock,lightning-rod,rock-head,reckless,1,115,80,85,95,30,30,25,345,False,False,generation-i,0.0,NoUsage,0.0
112,rhydon,ground,rock,lightning-rod,rock-head,reckless,1,120,105,130,120,45,45,40,485,False,False,generation-i,1e-05,NoUsage,0.01743
113,chansey,normal,None,natural-cure,serene-grace,healer,1,34,250,5,5,35,105,50,450,False,False,generation-i,0.20912,0.00722,0.00417
114,tangela,grass,None,chlorophyll,leaf-guard,regenerator,1,35,65,55,115,100,40,60,435,False,False,generation-i,0.00165,NoUsage,NoUsage
115,kangaskhan,normal,None,early-bird,scrappy,inner-focus,2,80,105,95,80,40,80,90,490,False,False,generation-i,0.06004,NoUsage,NoUsage
115,kangaskhan-mega,normal,None,parental-bond,None,None ,2,100,105,125,100,60,100,100,590,False,False,generation-i,NoUsage,NoUsage,NoUsage
116,horsea,water,None,swift-swim,sniper,damp,0,8,30,40,70,70,25,60,295,False,False,generation-i,0.0,NoUsage,0.0
117,seadra,water,None,poison-point,sniper,damp,1,25,55,65,95,95,45,85,440,False,False,generation-i,0.0,NoUsage,0.0
118,goldeen,water,None,swift-swim,water-veil,lightning-rod,0,15,45,67,60,35,50,63,320,False,False,generation-i,0.0,NoUsage,NoUsage
119,seaking,water,None,swift-swim,water-veil,lightning-rod,1,39,80,92,65,65,80,68,450,False,False,generation-i,0.00183,NoUsage,NoUsage
120,staryu,water,None,illuminate,natural-cure,analytic,0,34,30,45,55,70,55,85,340,False,False,generation-i,0.0,NoUsage,NoUsage
121,starmie,water,psychic,illuminate,natural-cure,analytic,1,80,60,75,85,100,85,115,520,False,False,generation-i,0.0,NoUsage,NoUsage
122,mr-mime,psychic,fairy,soundproof,filter,technician,1,54,40,45,65,100,120,90,460,False,False,generation-i,NoUsage,NoUsage,NoUsage
122,mr-mime-galar,ice,psychic,vital-spirit,screen-cleaner,ice-body,1,56,50,65,65,90,90,100,460,False,False,generation-i,NoUsage,NoUsage,NoUsage
123,scyther,bug,flying,swarm,technician,steadfast,1,56,70,110,80,55,80,105,500,False,False,generation-i,0.00159,0.00649,0.00488
124,jynx,ice,psychic,oblivious,forewarn,dry-skin,1,40,65,50,35,115,95,95,455,False,False,generation-i,0.08565,NoUsage,NoUsage
125,electabuzz,electric,None,static,None,vital-spirit,1,30,65,83,57,95,85,105,490,False,False,generation-i,0.0,NoUsage,0.11324
126,magmar,fire,None,flame-body,None,vital-spirit,1,44,65,95,57,100,85,93,495,False,False,generation-i,0.0,NoUsage,0.43853
127,pinsir,bug,None,hyper-cutter,mold-breaker,moxie,1,55,65,125,100,55,70,85,500,False,False,generation-i,0.0,NoUsage,NoUsage
127,pinsir-mega,bug,flying,aerilate,None,None ,1,59,65,155,120,65,90,105,600,False,False,generation-i,NoUsage,NoUsage,NoUsage
128,tauros,normal,None,intimidate,anger-point,sheer-force,1,88,75,100,95,40,70,110,490,False,False,generation-i,0.00109,0.00101,0.00168
